fips,count
1001,53155
1003,175791
1005,27699
1007,22610
1009,56692
1011,10923
1013,20895
1015,117149
1017,34579
1019,25700
1021,43121
1023,14111
1025,26255
1027,14040
1029,14823
1031,48349
1033,54446
1035,13382
1037,11470
1039,37608
1041,13928
1043,79941
1045,49730
1047,44066
1049,70038
1051,77650
1053,37996
1055,104066
1057,17472
1059,31383
1061,26541
1063,9255
1065,16168
1067,17148
1069,99029
1071,53386
1073,656912
1075,14743
1077,91762
1079,34235
1081,135010
1083,78614
1085,11731
1087,21699
1089,323080
1091,21296
1093,30792
1095,90867
1097,408620
1099,23329
1101,228018
1103,117632
1105,10684
1107,19917
1109,32147
1111,22817
1113,51663
1115,80658
1117,187880
1119,13871
1121,82347
1123,41534
1125,188331
1127,67612
1129,17556
1131,12012
1133,24687
2013,3703
2016,6259
2020,284267
2050,16838
2060,1049
2068,1144
2070,4817
2090,94439
2100,1658
2105,2029
2110,30975
2122,53917
2130,13396
2150,13349
2164,1626
2170,84147
2180,9315
2185,8852
2188,7477
2195,3841
2198,5507
2220,8894
2230,1140
2240,6935
2261,9606
2270,7398
2275,2338
2282,638
2290,5635
4001,70312
4003,129268
4005,131824
4007,53272
4009,36030
4011,8318
4012,20549
4013,3751410
4015,199177
4017,107060
4019,964462
4021,329297
4023,46051
4025,209260
4027,190526
5001,19321
5003,22126
5005,41388
5007,209911
5009,36710
5011,11638
5013,5529
5015,26971
5017,12102
5019,23083
5021,16297
5023,25692
5025,8769
5027,24756
5029,21059
5031,93329
5033,60778
5035,50673
5037,18144
5039,8280
5041,13351
5043,18546
5045,108375
5047,18176
5049,12263
5051,95290
5053,17657
5055,41318
5057,22747
5059,32671
5061,13778
5063,35994
5065,13636
5067,18015
5069,78447
5071,25180
5073,7764
5075,17340
5077,10709
5079,14203
5081,13145
5083,22580
5085,65846
5087,15507
5089,16779
5091,43048
5093,46815
5095,8492
5097,9490
5099,9149
5101,8394
5103,26293
5105,10435
5107,22412
5109,11286
5111,24703
5113,20490
5115,60460
5117,8839
5119,377060
5121,18049
5123,28302
5125,102439
5127,11226
5129,8227
5131,123847
5133,16636
5135,17432
5137,12321
5139,42180
5141,17237
5143,197192
5145,74957
5147,7505
5149,21895
6001,1477980
6003,1176
6005,38327
6007,218635
6009,45994
6011,21165
6013,1024809
6015,28471
6017,179053
6019,908830
6021,27935
6023,133058
6025,168052
6027,18434
6029,815693
6031,151122
6033,64371
6035,35081
6037,9758256
6039,147738
6041,248601
6043,18290
6045,87487
6047,250699
6049,9605
6051,13905
6053,407435
6055,134051
6057,98186
6059,2965525
6061,336477
6063,20392
6065,2109464
6067,1395144
6069,54492
6071,2005287
6073,3022468
6075,789172
6077,673613
6079,265577
6081,704327
6083,416051
6085,1739396
6087,256901
6089,176906
6091,3366
6093,44690
6095,410042
6097,474047
